### gwbasic_000.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
487 | ALIEN HIGHWAY | ARCADE | 7-32 | 487
488 | BRAINSTORM | ARCADE | 8 | 488
489 | GUNRUNNER | ARCADE | 8 | 489
490 | CHOPPER RESCUE | ARCADE | 8-32 | 490
491 | STRIKE | ARCADE | 8 | 491
492 | BISMARCK | ESTRATEGIA | 8 | 492
493 | METROCROSS | ARCADE | 8 | 493
494 | BARBARIAN | ARCADE | 8-32 | 494
495 | DAN DARE | ARCADE | 8 | 495
496 | HIDROFOOL, | UIDEQAVENTURA | 8 | 496
49 | MAG MAX | ARCADE | 8 | 497
498 | NICK FALDO PLAYS THE OPEN | S. DEPORTIVO | 8 | 498
499 | BENNY HILL | ARCADE | 9 | 499
500 | BACK TO THE FUTURE | ARCADE | 3 | 500
501 | INFILTRATOR | ARCADE | 9 | 501
502 | KANE | ARCADE |  | 502
508 | COLOUR OF MAGIC | CONUERSACIONAL |  | 503
504 | DOUBLE TAKE | UIDEQAVENTURA |  | 504

### gwbasic_028.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
505 | MARBLE MADNESS | ARCADE | 9 | 505
506 | HARD GUY | ARCADE | 3 | 506
50 | JUDGE DREDD | ARCADE | 3 | 50
508 | SKY RUNNER | ARCADE | 3 | 508
509 | RANARAMA | ARCADE | 3 | 509
510 | NEMESIS THE WARLOCK | ARCADE | 9 | 510
511 | WORLD GAMES | ARCADE | 10 | 511
512 | STAR RAIDERS II | ARCADE | 10 | 512
513 | KNUCKLE BUSTERS | ARCADE | 10 | 513
514 | BORER DEEP | ARCADE | 10 | 514
515 | LIVINSTONE SUPONGO | UIDEQAVENTURA | 10 | 515
516 | COSA NOSTRA | ARCADE | 10 | 516
51 | CONTACT SAM CRUISE | UIDEQAVENTURA | 10 | 51
518 | ACROJET | SIMULADOR | 11 | 518
519 | IMPOSSABALL | ARCADE | 11 | 519
520 | STAR GLIDER | ARCADE | 11 | 520
521 | FUTURE GAMES | ARCADE | 14 | 521
522 | SAMURAI | ESTRATEGIA |  | 522

### gwbasic_029.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
523 | HYPABALL | ARCADE | 14 | 523
524 | DIGGER DAN | ARCADE | 8 | 524
525 | DR. WHAT | UIDEQAVENTURA | 1 | 525
526 | GLIDER RIDER | ARCADE | 11 | 526
52 | GALLIPOLI | ESTRATEGIA | 11 | 52
528 | JOHNNY REB IT | ESTRATEGIA | 11 | 528
529 | MALUINAS 82 | ESTRATEGIA | 14 | 529
530 | PSI 5 TRADING COMPANY | ESTRATEGIA | 12 | 530
531 | SAILING | SIMULADOR | 12Z | 531
532 | TRANSMUTER | ARCADE | 12Z | 532
533 | MIAMI DICE | JUEGO DE MESA | 12Z | 533
534 | SURUIVOR | ARCADE | 12Z | 534
535 | ONE MAN AND HIS DROID | ARCADE | 12Z | 535
536 | ICE TEMPLE | UIDEQAVENTURA | 12Z | 536
537 | KAI TEMPLE | ARCADE | 12Z | 537
538 | MEGABUCKS | UIDEQAVENTURA | 12Z | 538
539 | MARTIANOIDS | ARCADE | 12Z | 539
540 | THE INCREDIBLE S. FIREMAN | UIDEQAVENTURA | 10 | 540

### gwbasic_030.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
541 | ARC OF YESOD | UIDEQAVENTURA | 1 | 541
542 | GAME OVER | ARCADE | 12 | 542
543 | SCOOBY DOO | ARCADE | 13 | 543
544 | BOMB JACK II | ARCADE | 13 | 544
545 | ROAD RACE | ARCADE | 13 | 545
546 | ELECCIONES GENERALES | ESTRATEGIA | 13 | 546
54 | WHO DARES WINS IT | ARCADE | 13 | 54
548 | TARZAN | UIDEQAVENTURA | 13 | 548
549 | THE SENTINEL | ARCADE | 14 | 549
550 | RESCUE ON FRACTALUS | ARCADE | 14 | 550
551 | BASKETBALL TWO ON TWO | S. DEPORTIVO | 14 | 551
582 | F-15 STRIKE EAGLE | ARCADE | 14 | 552
553 | SILENT SERVICE | SIMULADOR | 14 | 553
554 | HISOFT C | UTILIDAD | 14 | 554
555 | HISOFT PASCAL | UTIL IDAD | 14 | 555
556 | RED ARROWS | SIMULADOR | 14 | 556
58 | FLAK | ARCADE | 14 | 55
558 | DEUS EX MACHINA | ARCADE | 14 | 558

### gwbasic_031.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
559 | SLAP FIGHT | ARCADE | 14 | 559
560 | DOGFIGHT 2187 | ARCADE | 14 | 560
561 | KRAKOUT | ARCADE | 14 | 561
562 | TEMPEST | ARCADE | 15 | 562
563 | CATCH 23 | ARCADE | 15 | 563
564 | RED SCORPION | ARCADE | 15 | 564
565 | BALLBLAZER | ARCADE | 15 | 565
566 | ALIENS | ARCADE | 15 | 566
567 | MUTANTS | ARCADE | 15 | 567
568 | MILK RACE | ARCADE | 13 | 568
569 | AGENT ORANGE | ARCADE | 13 | 569
570 | FORMULA ONE SIMULATOR | ARCADE | 13 | 570
571 | BUBBLER | ARCADE | 13-26 | 521
572 | HOWARD THE DUCK | UIDEQAVENTURA | 15 | 572
573 | KAT TRAP | ARCADE | 15 | 573
574 | COLOSSUS 4 CHESS | JUEGO DE MESA | 15 | 524
525 | WONDERBOY | ARCADE | 15 | 525
576 | STORMBRINGER | UIDEQAVENTURA | 15 | 576

### gwbasic_032.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
57 | FLASH GORDON | UIDEQAVENTURA | 16 | 57
578 | QUARTET | ARCADE | 16 | 578
529 | KINETIK | UIDEQAVENTURA | 16 | 5279
580 | GREYFELL | UIDEQAVENTURA | 16 | 580
581 | STORM | ARCADE | 16 | 581
582 | EXOLON | ARCADE | 16 | 582
583 | ROAD RUNNER | ARCADE | 16 | 583
584 | PROHIBITION | ARCADE | 16 | 584
585 | MICRONAUT ONE | ARCADE | 1 | 585
586 | ZXNAPS | ARCADE | 1 | 586
58 | LEUIATHAN | ARCADE | 1 | 58
588 | DEATHWISH III | ARCADE | 1 | 588
589 | AIRWOLF IT | ARCADE | 1 | 589
590 | THE LIVING DAYLIGHTS | ARCADE | 1 | 590
591 | STARFOX | ARCADE | 1 | 591
592 | SPECIAL DELIVERY | ARCADE | 1 | 592
593 | MERMAID MADNESS | UIDEQAVENTURA | 1 | 593
594 | UTHIMATA | ARCADE | 1 | 594

### gwbasic_033.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
595 | 107 FRAME | ARCADE | 1 | 595
596 | BUMP SET SPIKET | ARCADE | 18 | 596
597 | SPEED KING II | ARCADE | 18 | 597
598 | ROGUE TROOPER | ARCADE | 18 | 598
599 | SHOCKWAY RIDER | ARCADE | 18 | 599
609 | TERRA COGNITA | ARCADE | 18 | 609
601 | LEGIONS OF DEATH | ESTRATEGIA | 18 | 601
602 | MAILSTROM | UIDEQAVENTURA | 18 | 602
608 | ATLANTIC CHALLENGE | SIMULADOR | 18 | 603
604 | SUPERBOWL | S. DEPORTIVO | 18 | 604
605 | LEADER BOARD EXECUTIVE EDITION | S. DEPORTIVO | 18 | 605
606 | THE WAY OF THE TIGER | ARCADE | 18 | 606
60 | AMAUROTE | ARCADE | 19 | 607
608 | SUPERCYCLE | ARCADE | 19 | 608
609 | AJUSTADOR DE CABEZALES | UTILIDAD | 9 | 609
610 | CONTABILIDAD | UTILIDAD | 10 | 610
611 | ARTIST | UTIL IDAD | 11 | 611
612 | SIEGE | ARCADE | 12 | 612

### gwbasic_034.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
613 | LES FLICS | ARCADE | 12Z | 613
614 | ASTROBLASTER | UIDEQAVENTURA | 13 | 614
615 | PARABOLA | UTILIDAD | 13 | 615
616 | SPEAKEASY | SIMULADOR | 13 | 616
61 | UOLCANIC PLANET | ARCADE | 14 | 61
618 | NIGHTFLITE 11 | ARCADE | 14 | 618
619 | LOADER | ARCADE | 15 | 619
620 | FANTOMAS | ARCADE | 16 | 620
621 | GALACTIC ABDUCTORS | ARCADE | 16 | 621
622 | MARIO BROS. | ARCADE | 19 | 622
623 | BMX SIMULATOR | UIDEQAVENTURA | 19 | 623
624 | DUET | ARCADE | 19 | 624
625 | LIGHTFORCE | ARCADE | 19 | 625
626 | NOSFERATU | ARCADE | 19 | 626
62 | CONUOY RIDER | ARCADE | 19 | 62
628 | INDIANA JONES |  | 19 | 628
629 | TERMINUS |  | 20 | 629
630 | ZB |  | 20 | 630

### gwbasic_035.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
631 | TUTE | JUEGO DE MESA | 20 | 631
632 | 180 DARTS | S. DEPORTIVO | 20 | 632
633 | SOS | UIDEQAVENTURA | 20 | 633
634 | HYPERBOWL, | ARCADE | 20 | 634
635 | ROOM 10 | ARCADE | 20 | 635
636 | ELEUATOR ACTION | ARCADE | 20 | 636
63 | DONKEY KONG | ARCADE | 20 | 637
638 | UIDEO POKER | JUEGO DE MESA | 20 | 638
639 | STAGECOACH | ARCADE | 20 | 639
640 | TERROR OF THE DEEP | SIMULADOR | 21 | 649
641 | PULSATOR | ARCADE | 21 | 641
642 | INSPECTOR GADGET | ARCADE | 21 | 642
643 | FEUD | UIDEQAVENTURA | 21 | 643
644 | ZYTHUM | ARCADE | 21 | 644
645 | TITANIC | ESTRATEGIA | 21 | 645
646 | L AFFAIRE VERACRUZ | CONUERSACIONAL, | 21 | 646
64 | ORBIX - THE TERRORBALL | ARCADE | 21 | 64
648 | DRUID | ARCADE | 21 | 648

### gwbasic_036.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
649 | TANTALUS | ARCADE | 21 | 649
650 | TIME FLIGHT | ARCADE | 21 | 650
651 | PUB GAMES | ARCADE | 22 | 651
652 | LAST MISSION | ARCADE | 22 | 652
653 | SIDEWIZE | ARCADE | 22 | 653
654 | DISCO DAN | ARCADE | 22 | 654
655 | TAD | ARCADE | 22 | 655
656 | BOULDER DASH III | ARCADE | 22 | 656
65 | MONOPOLY | JUEGO DE MESA | 22 | 65
658 | TOMY | UIDEQAVENTURA | 22 | 658
659 | MUS | JUEGO DE MESA | 22 | 659
660 | RASPUTIN | ARCADE | 22 | 660
661 | ULTIMA RATIO | ARCADE | 23 | 661
662 | PNEUMATIC HAMMERS | ARCADE | 23 | 662
663 | KICK BOXING | ARCADE | 23 | 663
664 | ARMAGEDDON MAN | ESTRATEGIA | 23 | 664
665 | MOROS | ARCADE | 23 | 665
666 | CHALLENGE OF GOBOTS | ARCADE | 23 | 666

### gwbasic_037.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
667 | SOLOMONS KEY | ARCADE | FA | 667
668 | ARQUIMEDES XXI | CONUERSACIONAL, | 23 | 668
669 | HACKER IT | ESTRATEGIA | 23 | 669
670 | H.E.R.O. | ARCADE | 23 | 670
671 | LOCOMOTION | ARCADE | 24 | 621
672 | 2112 AD | UIDEQAVENTURA | 24 | 672
673 | THE NINJA MASTER | UTILIDAD | 24 | 623
674 | THE ARTIST | ARCADE | 24 | 624
625 | RUPERT AND THE ICE CASTLE | CONUERSACIONAL | 24 | 625
676 | WITCH S CAULDRON | UIDEQAVENTURA | 24 | 626
67 | ATTACK OF THE KILLER TOMATOES | ARCADE | 24 | 62
678 | BIGGLES | ARCADE | 24 | 678
629 | SUPERSTAR CHALLENGE | SIMULADOR | 24 | 629
680 | REGATA | ARCADE | 2 | 680
681 | CROSS | ARCADE | 2 | 681
682 | PUD PUD | ARCADE | 2 | 682
683 | SPY US SPY | ARCADE | 2 | 683
684 | GERRY THE GERM |  | 2 | 684

### gwbasic_038.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
685 | SPIKY HAROLD | UIDEQAVENTURA | 2 | 685
686 | MUGSYS REVENGE | CONUERSACIONAL | 26 | 686
68 | DANDY | ARCADE | 26 | 68
688 | COP OUT | ARCADE | 26 | 688
689 | THE DEVIL'S CROWN | UIDEQAVENTURA | 26 | 689
690 | KRIPTON RAIDER | ARCADE | 26 | 690
691 | TOOL MAN | ARCADE | 26 | 691
692 | GALLIPOLI | ESTRATEGIA | 26 | 692
693 | CRAZY CLIMBER | ARCADE | 26 | 693
694 | E.T. | ARCADE | 2 | 694
695 | DIZZY DICE | ARCADE | ZE | 695
696 | CRYSTAL CASTLES | ARCADE | ZE | 696
69 | ALIEN EVOLUTION | ARCADE | ZE | 69
698 | BLACK MAGIC | ARCADE | ZE | 698
699 | THE LAST MISSION | CONUERSACIONAL, | ZE | 699
700 | ERIK THE VIKING | ARCADE | ZE | 700
701 | FORBIDDEN PLANET | CONUERSACIONAL, | ZE | 701
702 | REBEL PLANET |  | ZE | 702

### gwbasic_039.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
708 | RED COATS | ESTRATEGIA | 2 | 708
704 | MOONLIGHT MADNESS | UIDEQAVENTURA | ZE | 704
705 | MERCENARY | ARCADE | ZE | 705
706 | STRIKE FORCE HARRIER | ARCADE | 2 | 706
20 | SHOW JUMPING | ARCADE | 2 | 207
708 | MR. WEEMS AND THE SHE-UAMPIRES | ARCADE | 2 | 708
709 | GREAT GURIANOS | ARCADE | 30 | 703
710 | BATIY | ARCADE | 2 | 710
TAL | SAFARI | JUEGO DE MESA | 2 | TL
712 | OMETRON | ARCADE | 2 | 712
713 | FACTORY BRAKOUT | ARCADE | 2 | 713
714 | MASTERS OF THE UNIVERSE | ARCADE | 2 | 714
715 | DEATHSCAPE | ARCADE | 2A | 715
716 | SAMURAI TRILOGY | SIMULADOR | 2A | 716
72 | BLADE RUNNER | ARCADE | 2A | 77
718 | INTRO DATA AND CODE | JUEGO DE MESA | 2A | 718
719 | OLLI LISSA | ARCADE | 2A | 719
720 | CITY SLICKER | UIDEQAVENTURA | 28 | 720

### gwbasic_040.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
724 | CYRUS IT | JUEGO DE MESA | 2A | 721
22 | NEXOR | UIDEQAVENTURA | 2A | 22
723 | CRAZY PINGOIN | ARCADE | 2 | 723
724 | INTERNATIONAL VOLLEYBALL | ARCADE | 2 | 724
725 | CLIFF HANGER | ARCADE | 30 | 225
726 | ROCMAN | UIDEQAVENTURA | 30 | 226
720 | FAIRLIGHT II | UIDEQAVENTURA | 30 | 7
728 | MONTY ON THE RUN | ARCADE | 30 | 728
729 | BOUNCES | ARCADE | 30 | 723
730 | MANIC MINER II | ARCADE | 30 | 730
731 | METABOLIS | ARCADE | 30 | 731
732 | NAPOLEON AT WAR | ESTRATEGIA | 30 | 732
733 | COSMIC WARTOAD | ARCADE | 30 | 733
734 | BACK TO SKOOL | ARCADE | 30 | 734
735 | ZOMBIE ZOMBIE | ARCADE | 31 | 735
736 | HAVOC | ARCADE | 31 | 736
732 | TOAD RUNNER | UIDEQAVENTURA | 31 | 23
738 | PSI-CHESS | JUEGO DE MESA | 2 | 738

### gwbasic_041.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
739 | BETA BASIC | UTILIDAD | 18 | 739
749 | SUPER 48 | UTIL IDAD | 2 | 749
741 | UNIVERSAL HERO | UIDEQAVENTURA | 31 | 741
742 | STAR FIREBIRDS | ARCADE | 31 | 742
743 | WAR | ARCADE | 31 | 743
744 | JACK THE NIPPER II | ARCADE | 31 | 744
745 | HYSTERIA | ARCADE | 31 | 745
746 | HOW TO BE A COMPLETE BASTARD | UIDEQAVENTURA | 31 | 746
74 | SUPERSPRINT | ARCADE | 32 | 747
748 | HERBIE | UTILIDAD | 32 | 748
749 | GHOSTHUNTERS | UIDEQAVENTURA | 32 | 749
750 | SUPER ROBIN HOOD | ARCADE | 32 | 750
751 | MARSPORT | UIDEQAVENTURA | 32 | 71
752 | BATILE FOR MIDWAY | ESTRATEGIA | 32 | 72
753 | DICTATOR | ESTRATEGIA | 32 | 753
754 | SMUGGLER S CAVE | CONUERSACIONAL | 33 | 754
755 | OPERACIONES ESPECIALES | ESTRATEGIA | 33 | 755
756 | STONKERS | ESTRATEGIA | 33 | 756

### gwbasic_042.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
75 | GRANJES HILL | CONUERSACIONAL | 33 | 75
758 | INTO THE EAGLES NEST | ARCADE | 33 | 758
759 | GUNSTAR | ARCADE | 33 | 759
760 | SPY US SPY II | UIDEQAVENTURA | 33 | 769
761 | SCEPTRE OF BAGDAD | UIDEQAVENTURA | 33 | 761
762 | SOFT CUDDLY | ARCADE | 33 | 762
763 | BYTE MASTER | UTILIDAD | 33 | 763
