### gwbasic_000.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
116 | BOOTY | ARCADE | I | 116
11 | PAINTER | ARCADE | I | 112
118 | INUADERS | ARCADE | I | 118
119 | AIRWOLF | ARCADE | I | 119
120 | WORSE SEA | ARCADE | I | 120
121 | JET SET WILLY | ARCADE | I | 121
122 | SNAKE PIT | ARCADE | I | 122
123 | BILLAR | S. DEPORTIVO | I | 123
124 | ROCKS | ARCADE | I | 124
125 | TIR NA NOG | UIDEQAVENTURA | I | 125
126 | RAID OVER MOSCOW | ARCADE | I | 126

### gwbasic_007.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
12 | SPY HUNTER | ARCADE | 1-30 | 122
128 | BACKGAMMON | JUEGO DE MESA | I | 128
129 | MILLIPEDE | ARCADE | I | 129
130 | 3D TUNNEL | ARCADE | I | 130
131 | UL-FILE | UTILIDAD | IM | 131
132 | MASTER FILE | UTIL IDAD | I | 132
133 | TIME GATE | ARCADE | A | 133
134 | HUNTER KILLER | SIMULADOR | A | 134
135 | SPECTRUM CHESS | JUEGO DE MESA | A | 135
136 | SOLITARIO | JUEGO DE MESA | A | 136
13 | TABLA PERIODICA | UTILIDAD | A | 132
138 | FUN AT THE FAIR | ARCADE | A | 138
139 | SPAWN OF EVIL | ARCADE | A | 139
140 | YENGHT | CONUERSACIONAL, | A | 140
141 | MANIC MINER | ARCADE | IW | 141
142 | SCRABBLE | JUEGO DE MESA | A | 142
143 | MAZIACS | ARCADE | A | 143
144 | GALAXIANS | ARCADE | A | 144

### gwbasic_008.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
145 | GHOSTBUSTERS | ARCADE | A | 145
146 | SPACE INTRUDERS | ARCADE | A | 146
14 | 3D MONSTERS | ARCADE | A | 142
148 | NIGHTFLITE | ARCADE | A | 148
149 | CENTIPEDE | ARCADE | A | 149
150 | LEAGUE CRICKET | S. DEPORTIVO | A | 150
151 | TRANSYLUANIAN TOWER | ARCADE | A | 151
152 | KONG STRIKES BACK | ARCADE | K | 152
153 | PROFANATION | UIDEQAVENTURA | K | 153
154 | LORDS OF MIDNIGHT | CONUERSACIONAL | K | 154
155 | GYRON | ARCADE | K | 155
156 | TRAVEL WITH TRASHMAN | ARCADE | KP | 156
15 | BATILECARS | ARCADE | KP | 15
158 | THE DUKES OF HAZZARD | ARCADE | L | 158
159 | ZAXXON | ARCADE | X | 159
160 | ANT ATTACK | ARCADE | Y | 160
161 | 3D DEATHCHASE | ARCADE | K | 161
162 | JET PAC | ARCADE | K | 162

### gwbasic_009.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
163 | ATIC ATAC | UIDEQAVENTURA | K | 163
164 | 3D CODENAME MAT | ARCADE | X | 164
165 | 3D STARSTRIKE | ARCADE | T | 165
166 | FIGHTER PILOT | SIMULADOR | Y | 166
16 | SUPERCOMECOCOS | ARCADE | X | 16
168 | PHEENIX | ARCADE | X | 168
169 | SHADOWF IRE | UIDEQAVENTURA | H | 169
170 | PSST | ARCADE | J | 170
171 | D-DAY | ESTRATEGIA | L | 171
172 | SABREWLF | UIDEQAVENTURA | A | 172
173 | ONE ON ONE | ARCADE | K | 173
174 | DALEY THOMPSON S SUPER-TEST | ARCADE | K-33 | 174
175 | FRANKIE GOES TO HOLLYWOOD | UIDEQAVENTURA | L | 175
176 | THE PYRAMID | ARCADE | L | 176
17 | SORCERY | ARCADE | L | 172
178 | THE WAY OF THE EXPLODING FIST | ARCADE | L-32 | 178
179 | POOL | S. DEPORTIVO | L | 179
180 | WEST BANK | ARCADE | L | 180

### gwbasic_010.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
181 | SOUTHERN BELLE | SIMULADOR | L-31 | 181
182 | POLE POSITION | ARCADE | L | 182
183 | POPEYE | ARCADE | 1-25 | 183
184 | BOUNTY BOB STRIKES BACK | ARCADE | M | 184
185 | AD ASTRA | ARCADE | M | 185
186 | 3D TANK DUEL | ARCADE | M | 186
18 | HIGHWAY ENCOUNTER | ARCADE | N | 18
188 | THE DAMBUSTERS | SIMULADOR | N | 188
189 | WORLD SERIES BASKETBALL | S. DEPORTIVO | N-X | 189
190 | KOKOTONI WILF | ARCADE | N | 190
191 | GILLIGAN S GOLD | ARCADE | N-23 | 191
192 | U-CALC | UTILIDAD | M | 192
193 | CRITICAL MASS | ARCADE | N | 193
194 | FIGHTING WARRIOR | ARCADE | N | 194
195 | OLE TORO | ARCADE | M22 | 195
196 | BUCK ROGERS | ARCADE | 6 | 196
19 | B.C. BILL | ARCADE | N | 19
198 | MOON CRESTA | ARCADE | C | 198

### gwbasic_011.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
199 | SNOOKER | S. DEPORTIVO | N | 199
200 | NIGHTSHADE | UIDEQAVENTURA | N | 209
201 | DRAGON TORC | UIDEQAVENTURA | N | 201
202 | CAULDRON | UIDEQAVENTURA | N | 202
208 | GYROSCOPE | ARCADE | M25 | 208
204 | YIE AR KUNG-FU | ARCADE | M33 | 204
205 | BEACH HEAD II | ARCADE | 31 | 205
206 | COMMANDO | ARCADE | M20 | 206
20 | RAMBO | ARCADE | M29 | 207
208 | ZORRO | UIDEQAVENTURA | M | 208
209 | FULL THROTILE | ARCADE | M | 203
210 | GLASS | ARCADE | M25 | 210
214 | PYJAMARAMA | UIDEQAVENTURA | M | ZI.
212 | GUNFRIGHT | ARCADE | N | 212
213 | IMPOSSIBLE MISSION | UIDEQAVENTURA | 0 | 213
214 | WHEELIE | ARCADE | 0 | 214
215 | SGRIZAM | ARCADE | 0-29 | 215
216 | BATTLE OF THE PLANETS | ARCADE | 0 | 216

### gwbasic_012.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
21 | BOULDER DASH II | ARCADE | 0 | 21
218 | SABOTEUR | UIDEQAVENTURA | 0 | 218
219 | N.O.M.A.D. | ARCADE | P-24 | 219
220 | YABBA DABBA DODO | ARCADE | P | 220
221 | DYNAMITE DAN | ARCADE | P | 221
222 | ROCKY HORROR SHOW | ARCADE | P | 222
223 | TASWORD TWO | UTILIDAD | P | 223
224 | 3D TANX | ARCADE | P | 224
225 | TUNELES MARCIANOS | ARCADE | P | 225
226 | BARMY BURGER | ARCADE | P | 226
222 | WAP | UTILIDAD | U | 22
228 | STREET HAWK | ARCADE | U | 228
229 | 911 TS | ARCADE | U | 229
230 | DUN DARACH | UIDEQAVENTURA | QQ | 230
231 | ENIGMA FORCE | UIDEQAVENTURA | QQ | 231
232 | SIR FRED | UIDEQAVENTURA | QU | 232
233 | CHIMERA | UIDEQAVENTURA | QQ | 233
234 | SKY FOX | ARCADE | Q | 234

### gwbasic_013.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
235 | TURBO ESPRIT | ARCADE | Q-25 | 235
236 | BARRY MCGUIGANS BOXING | S. DEPORTIVO | QQ | 236
23 | PING-PONG | S. DEPORTIVO | Q-24 | 237
238 | MIKIE | ARCADE | Q-25 | 238
239 | GREEN BERET | ARCADE | FI | 239
240 | SPITFIRE 40 | SIMULADOR | 0 | 249
244 | FRIDAY 13TH | ARCADE | R | 241
242 | CYBERUN | ARCADE | R | 242
243 | SAMANTHA FOX STRIP POKER | JUEGO DE MESA | R | 243
244 | CARD STUD | JUEGO DE MESA | R | 244
245 | CODENAME MAT IT | ARCADE | R | 245
246 | ROBIN OF THE WOOD | UIDEQAVENTURA | R | 246
24 | TOMAHAUK | SIMULADOR | R | 247
248 | U | UIDEQAVENTURA | R | 248
249 | BOMB JACK | ARCADE | R | 249
250 | DEUPAC | UTILIDAD | Q | 250
251 | SQUASH | S. DEPORTIVO | R-31 | 251
252 | COBRAS ARC | CONUERSACIONAL | R | 252

### gwbasic_014.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
253 | PENTAGRAM | UIDEQAVENTURA | R | 253
254 | THE PLANETS | ARCADE | 8 | 254
255 | STARSTRIKE 11 | ARCADE | 8 | 255
256 | CAMELOT S WARRIORS | ARCADE | Q | 256
25 | KUNG-FU MASTER | ARCADE | R-25 | 25
258 | UECTRON | ARCADE | R | 258
259 | ROCKN WRESTLE | ARCADE | R | 259
260 | THE COLT | UTILIDAD | L-S | 269
261 | CONTEXT U | UTIL IDAD | 8 | 261
262 | SUPERMAN | ARCADE | 8 | 262
263 | COMPILER | UTILIDAD | L | 263
264 | FAIRLIGHT | UIDEQAVENTURA | 0 | 264
265 | FRANK BRUNOS BOXING | ARCADE | 0 | 265
266 | STRONG MAN | ARCADE | P | 266
26 | KYREL | ARCADE | P | 267
268 | SAI COMBAT | ARCADE | P | 268
269 | BATILE OF THE ZOIDS | ARCADE | S | 269
270 | WORLD SERIES BASEBALL | S. DEPORTIVO | 8 | 270

### gwbasic_015.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
24 | DRAGON S LAIR | ARCADE | T | 2A
272 | TENNIS | ARCADE | 8 | 22
223 | GHOSTN GOBLINS | ARCADE | 8 | 223
224 | PHANTOMAS | UIDEQAVENTURA | 8 | 224
225 | JACK THE NIPPER | UIDEQAVENTURA | 8 | 225
26 | GLADIATOR | ARCADE | 8 | 226
27 | ARCADIA | ARCADE | 8 | 27
228 | ANTIMATERIA | ARCADE | 8 | 228
229 | STRIP POKER | JUEGO DE MESA | T | 229
280 | ASTER | ARCADE | T | 280
281 | TAJ-MAHAL | ARCADE | T | 281
282 | COWBOY | ARCADE | T | 282
283 | RIDDLERS DEN | UIDEQAVENTURA | T | 283
284 | MACADAM BUMPER | ARCADE | T | 284
285 | PANAMA JOE | ARCADE | T | 285
286 | SNOWMAN | ARCADE | T | 286
28 | DEATH STAR | ARCADE | T | 28
288 | BABALIBA | UIDEQAVENTURA | T | 288

### gwbasic_016.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
289 | FANTASTIC VOYAGE | ARCADE | T | 289
290 | WRIGGLER | ARCADE | T | 290
291 | LA MUMMIA | ARCADE | U | 291
292 | PENN-X | ARCADE | U | 292
293 | PEDRO | ARCADE | U | 293
294 | CRASH CAR | ARCADE | U | 294
295 | INUADER | ARCADE | U | 295
296 | MISSILE DEFENCE | ARCADE | U | 296
29 | TRAGON | UTILIDAD | U | 297
298 | AMERICAN BILLIARDS | S. DEPORTIVO | U | 298
299 | GRAND NATIONAL | S. DEPORTIVO | U | 299
300 | CASTILLO | ARCADE | U | 300
301 | SPECTROIDS | ARCADE | U | 301
302 | MICROCOPI | UTILIDAD | U | 302
308 | COPIADOR | UTIL IDAD | U | 303
304 | DANGER MOUSE IN DOUBLE TROUBLE | ARCADE | U | 304
305 | PISTA | ARCADE | U | 305
306 | WINTER GAMES | ARCADE | U | 306

### gwbasic_017.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
307 | PHANTOMS II | UIDEQAVENTURA | U | 307
308 | GUSANO | ARCADE | U | 308
309 | BAGDAD | ARCADE | U | 309
310 | PLANCHA | ARCADE | U | 310
311 | XANADU | ARCADE | U | 311
312 | BATMAN | UIDEQAVENTURA | U | 312
313 | CAULDRON II | UIDEQAVENTURA | VZ | 313
314 | TIRO AL BLANCO | ARCADE | U | 314
315 | PESADILLAS | ARCADE | U | 315
316 | SKATE BOARD | ARCADE | U | 316
31 | THREE WEEKS IN PARADISE | UIDEQAVENTURA | UAZ | 31
318 | EL GATO | ARCADE | U | 318
319 | MONTY MOLE | ARCADE | U | 319
320 | OROMANIA | ARCADE | U | 320
321 | TIME-BOMB | ARCADE | U | 321
322 | MOON ALERT | ARCADE | U | 322
323 | DEFENDER | ARCADE | U | 323
324 | NODES OF YESOD | UIDEQAVENTURA | U | 324

### gwbasic_018.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
325 | STARION | ARCADE | 23 | 325
326 | JET SET WILLY II | ARCADE | U | 326
32 | ROLANDS RAT RACE | ARCADE | W | 32
